Date,Open,High,Low,Close,Volume,VWAP,TWAP
2020-02-03,9327.6225964,9518.77233154,9253.23616011,9295.79910609,563791.51514524,9338.59306327,9337.92475634
2020-02-02,9361.55217087,9438.09232444,9201.86055967,9334.42714035,543530.62599527,9368.64753956,9364.32129279
2020-02-01,9329.38772478,9418.34704972,9291.66015079,9363.20302904,424253.82449236,9359.14605576,9357.94326762
2020-01-31,9492.35662391,9498.05457318,9224.70771886,9320.4657673,620877.42057274,9340.12545914,9340.04233496
2020-01-30,9275.78807041,9536.88572534,9206.13745725,9491.02080318,742500.72415578,9351.48427261,9348.86440332
2020-01-29,9346.28762428,9376.77665525,9244.76018408,9277.83446743,728352.80018509,9314.25254235,9314.38227933
2020-01-28,8865.94671148,9316.24665608,8865.94671148,9316.24665608,892792.22312727,9017.78110166,9017.73454237
2020-01-27,8583.47270188,8934.13642233,8578.83375806,8868.34638247,724459.39005166,8725.87715717,8713.66311075
2020-01-26,8341.67416533,8581.06358362,8315.33521462,8572.02460102,509518.21189504,8446.86283599,8438.95097082
2020-01-25,8434.25466244,8434.74124815,8287.10339467,8358.64003147,415297.33451968,8336.14526791,8337.70034556
2020-01-24,8390.21674895,8501.20200818,8237.79775983,8439.28001364,609469.82054722,8384.09727785,8386.62972876
2020-01-23,8656.65914015,8656.65914015,8301.21466326,8384.60897031,653673.30635167,8440.62173748,8449.18860079
2020-01-22,8709.04464009,8756.59912792,8618.78229431,8649.17282206,520167.49795618,8660.47534558,8661.21193769
2020-01-21,8642.12483913,8743.69840126,8529.07208644,8723.47883243,557022.97761254,8647.68818279,8647.576814
2020-01-20,8704.92228268,8727.14359326,8544.31786059,8635.91787183,605769.83544405,8659.21536116,8657.93851484
2020-01-19,8905.31645,9167.31787938,8585.41654107,8698.66820957,935235.56979403,8824.68641464,8850.65104286
2020-01-18,8892.22900723,8951.82467157,8819.01236701,8911.62160169,620593.06488296,8886.15117432,8886.77177157
2020-01-17,8708.04763087,8954.39405155,8663.39632397,8903.8602227,894954.30537979,8846.89491539,8842.82340566
2020-01-16,8794.96626706,8819.49976007,8600.45397283,8708.19390252,740656.56079129,8671.85934218,8672.41217501
2020-01-15,8791.04973168,8858.26953377,8576.96146486,8793.85824623,951238.07063699,8725.16488574,8727.344517
2020-01-14,8105.81579898,8837.19622432,8105.81579898,8826.76465769,1221780.21434033,8585.32554582,8556.43509437
2020-01-13,8171.76876213,8171.76876213,8054.43137665,8115.36204366,568996.98837631,8101.94926038,8102.30827404
2020-01-12,8029.05393084,8175.53881595,7976.42405505,8158.33553807,582723.92771268,8114.23402459,8115.24112917
2020-01-11,8182.31431048,8258.98359565,8023.76975333,8024.05378972,674781.78988411,8109.57872577,8110.44601875
